UDPV	// User ID
5-3-2021	// Evaluation date
UDLV_Constant_17_orientation	5-3-2021	14:25:11:343	// Source file name and timestamp
100.000	// Sampling rate
33.893	// Data capture period

0.020000	// MOE
0.615000	// BslLeft
0.634000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.139035	-0.839506	0.075046	0.184703	-0.786867	0.108456	0.218332	-0.677783	0.035821	-0.070180	-0.840742	0.079182	-0.121442	-0.788791	0.105258	-0.165829	-0.687584	0.034371	-0.068445	-0.646238	0.042857	-0.122328	-0.735760	0.480518	0.196131	-0.720625	0.477940	-0.149206	-0.683936	0.888470	0.230072	-0.675449	0.890090	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032488	-0.000833	0.317031	0.028663	-0.000385	0.235545	NaN	0.220000	
1	0.139046	-0.839534	0.075074	0.184767	-0.786900	0.108410	0.218399	-0.677762	0.035900	-0.070173	-0.840742	0.079177	-0.121409	-0.788811	0.105299	-0.165824	-0.687566	0.034427	-0.068426	-0.646207	0.042835	-0.122268	-0.735844	0.480574	0.196118	-0.720691	0.477961	-0.149111	-0.684034	0.888518	0.230130	-0.675555	0.890150	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032183	0.000083	0.317031	0.026527	-0.003131	0.235545	NaN	0.220000	
2	0.139128	-0.839395	0.075088	0.184756	-0.786779	0.108471	0.218501	-0.677675	0.036150	-0.070206	-0.840700	0.079217	-0.121410	-0.788738	0.105335	-0.165845	-0.687528	0.034507	-0.068435	-0.646181	0.042902	-0.122252	-0.735865	0.480638	0.196252	-0.720748	0.478181	-0.149118	-0.684155	0.888614	0.230217	-0.675599	0.890305	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.002969	0.317031	0.025611	-0.000079	0.236766	NaN	0.220000	
3	0.139109	-0.839360	0.075180	0.184751	-0.786753	0.108534	0.218519	-0.677625	0.036273	-0.070225	-0.840684	0.079251	-0.121446	-0.788710	0.105431	-0.165878	-0.687476	0.034585	-0.068426	-0.646172	0.042936	-0.122290	-0.735932	0.480690	0.196350	-0.720809	0.478379	-0.149138	-0.684291	0.888672	0.230276	-0.675677	0.890447	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.001748	0.317336	0.027747	0.002667	0.237681	NaN	0.220000	
4	0.139094	-0.839375	0.075241	0.184803	-0.786788	0.108567	0.218503	-0.677600	0.036322	-0.070273	-0.840723	0.079260	-0.121473	-0.788726	0.105462	-0.165919	-0.687495	0.034639	-0.068380	-0.646160	0.042956	-0.122228	-0.736022	0.480759	0.196399	-0.720857	0.478439	-0.149108	-0.684389	0.888704	0.230315	-0.675711	0.890463	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032183	-0.001443	0.317946	0.028968	-0.003131	0.236155	NaN	0.220000	
5	0.139004	-0.839516	0.075229	0.184737	-0.786825	0.108549	0.218486	-0.677657	0.036283	-0.070284	-0.840745	0.079223	-0.121474	-0.788770	0.105433	-0.165909	-0.687545	0.034606	-0.068407	-0.646181	0.042973	-0.122190	-0.736101	0.480715	0.196388	-0.720909	0.478327	-0.149031	-0.684544	0.888679	0.230355	-0.675792	0.890410	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.002969	0.317336	0.026222	-0.001910	0.234935	NaN	0.220000	
6	0.139160	-0.839438	0.075011	0.184780	-0.786941	0.108472	0.218481	-0.677750	0.036147	-0.070202	-0.840720	0.079131	-0.121447	-0.788858	0.105319	-0.165873	-0.687651	0.034485	-0.068456	-0.646223	0.042928	-0.122175	-0.736131	0.480490	0.196365	-0.720981	0.478136	-0.148914	-0.684702	0.888532	0.230363	-0.675940	0.890276	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034014	-0.002969	0.318252	0.026832	-0.002216	0.235850	NaN	0.220000	
7	0.139023	-0.839590	0.074968	0.184804	-0.787005	0.108376	0.218360	-0.677856	0.035879	-0.070218	-0.840788	0.079090	-0.121457	-0.788852	0.105258	-0.165886	-0.687674	0.034431	-0.068484	-0.646253	0.042888	-0.122081	-0.736115	0.480326	0.196315	-0.721111	0.477912	-0.148827	-0.684892	0.888386	0.230405	-0.676098	0.890172	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032488	-0.002969	0.317946	0.028358	0.000226	0.235240	NaN	0.220000	
8	0.139028	-0.839605	0.075002	0.184834	-0.786945	0.108324	0.218414	-0.677817	0.035881	-0.070213	-0.840765	0.079091	-0.121395	-0.788845	0.105246	-0.165821	-0.687598	0.034396	-0.068446	-0.646234	0.042814	-0.122057	-0.736077	0.480376	0.196328	-0.721186	0.477860	-0.148762	-0.684953	0.888392	0.230434	-0.676196	0.890160	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.003885	0.318252	0.028358	0.002667	0.235240	NaN	0.220000	
9	0.139140	-0.839514	0.075089	0.184923	-0.786901	0.108421	0.218518	-0.677686	0.036080	-0.070174	-0.840732	0.079152	-0.121354	-0.788809	0.105308	-0.165797	-0.687493	0.034490	-0.068424	-0.646245	0.042806	-0.122009	-0.736145	0.480588	0.196408	-0.721141	0.478036	-0.148725	-0.685011	0.888528	0.230485	-0.676272	0.890273	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034624	-0.001443	0.318862	0.027442	-0.005573	0.235850	NaN	0.220000	
