UDPV	// User ID
14-1-2021	// Evaluation date
UDLV_HV_09_orientation	14-1-2021	08:36:53:349	// Source file name and timestamp
100.000	// Sampling rate
33.242	// Data capture period

0.020000	// MOE
0.531000	// BslLeft
0.551000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.134100	-0.959418	0.075197	0.189594	-0.916678	0.089548	0.226008	-0.810632	0.039706	-0.067906	-0.961863	0.071947	-0.113701	-0.911710	0.083411	-0.133638	-0.803556	0.037430	-0.034679	-0.781367	0.044357	-0.126459	-0.887217	0.441251	0.200938	-0.899758	0.441160	-0.145486	-0.870628	0.799050	0.219469	-0.869839	0.812319	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.034098	0.006137	0.262874	0.030240	-0.002850	0.281975	NaN	0.342145	
1	0.134112	-0.959431	0.075222	0.189601	-0.916652	0.089570	0.225987	-0.810657	0.039704	-0.067912	-0.961895	0.071995	-0.113681	-0.911560	0.083432	-0.133650	-0.803566	0.037445	-0.034658	-0.781312	0.044389	-0.126452	-0.887191	0.441280	0.200952	-0.899799	0.441207	-0.145488	-0.870624	0.799081	0.219489	-0.869948	0.812314	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.033182	0.009494	0.263180	0.029935	-0.002239	0.281670	NaN	0.342145	
2	0.134114	-0.959438	0.075185	0.189618	-0.916642	0.089546	0.226218	-0.810559	0.039852	-0.067852	-0.961815	0.071879	-0.113935	-0.911999	0.083524	-0.133638	-0.803553	0.037465	-0.034473	-0.781310	0.044439	-0.126526	-0.887276	0.441322	0.201013	-0.899808	0.441187	-0.145488	-0.870596	0.799105	0.219500	-0.870071	0.812287	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.032267	0.003391	0.263180	0.030851	-0.003155	0.281060	NaN	0.342145	
3	0.134127	-0.959422	0.075114	0.189613	-0.916599	0.089496	0.226251	-0.810604	0.039853	-0.067832	-0.961809	0.071790	-0.113961	-0.912164	0.083533	-0.133673	-0.803652	0.037484	-0.034616	-0.781374	0.044468	-0.126465	-0.887247	0.441318	0.200966	-0.899872	0.441048	-0.145500	-0.870689	0.799074	0.219477	-0.870208	0.812268	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.031961	0.005527	0.262264	0.032682	-0.002239	0.280755	NaN	0.342145	
4	0.134153	-0.959443	0.075010	0.189601	-0.916712	0.089441	0.226256	-0.810706	0.039810	-0.067825	-0.961813	0.071710	-0.113947	-0.912174	0.083502	-0.133722	-0.803787	0.037508	-0.034611	-0.781408	0.044518	-0.126475	-0.887370	0.441300	0.201024	-0.899916	0.441008	-0.145525	-0.870712	0.799046	0.219465	-0.870387	0.812171	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.032572	0.010104	0.263180	0.030240	-0.002239	0.280450	NaN	0.342145	
5	0.134131	-0.959457	0.075008	0.189594	-0.916718	0.089421	0.226274	-0.810722	0.039808	-0.067845	-0.961815	0.071693	-0.113965	-0.912258	0.083464	-0.133732	-0.803797	0.037525	-0.034586	-0.781424	0.044553	-0.126476	-0.887264	0.441247	0.200961	-0.899969	0.440957	-0.145504	-0.870743	0.799036	0.219470	-0.870519	0.812144	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.035318	0.007663	0.263180	0.029935	-0.001934	0.281060	NaN	0.342145	
6	0.134148	-0.959481	0.075026	0.189598	-0.916754	0.089409	0.226288	-0.810695	0.039809	-0.067874	-0.961904	0.071800	-0.113961	-0.912232	0.083465	-0.133690	-0.803762	0.037493	-0.034605	-0.781403	0.044488	-0.126430	-0.887283	0.441243	0.200970	-0.900043	0.440957	-0.145454	-0.870716	0.798997	0.219451	-0.870642	0.812134	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.033182	0.004916	0.262264	0.031461	-0.001324	0.282281	NaN	0.342145	
7	0.134082	-0.959476	0.075091	0.189639	-0.916720	0.089485	0.226256	-0.810618	0.039803	-0.067936	-0.961888	0.071834	-0.113939	-0.912219	0.083452	-0.133670	-0.803662	0.037422	-0.034598	-0.781389	0.044403	-0.126397	-0.887253	0.441244	0.200959	-0.900128	0.441054	-0.145470	-0.870717	0.799013	0.219499	-0.870737	0.812210	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.030435	0.007053	0.261959	0.030851	-0.001324	0.281365	NaN	0.342145	
8	0.134069	-0.959446	0.075162	0.189613	-0.916662	0.089559	0.226271	-0.810529	0.039880	-0.067967	-0.961883	0.071903	-0.113937	-0.912052	0.083439	-0.133708	-0.803583	0.037461	-0.034642	-0.781307	0.044326	-0.126461	-0.887309	0.441257	0.200953	-0.900103	0.441135	-0.145500	-0.870661	0.799041	0.219508	-0.870772	0.812316	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.034098	0.008273	0.261959	0.029630	-0.001934	0.281060	NaN	0.342145	
9	0.134091	-0.959439	0.075230	0.189647	-0.916685	0.089612	0.226257	-0.810459	0.039916	-0.067904	-0.961853	0.071966	-0.113931	-0.912067	0.083493	-0.133639	-0.803530	0.037474	-0.034566	-0.781249	0.044404	-0.126461	-0.887380	0.441289	0.201014	-0.900152	0.441227	-0.145504	-0.870762	0.799079	0.219490	-0.870794	0.812369	0.000000	0.000000	0.000000	0.000000	0.000000	0.755447	0.328606	NaN	-0.034403	0.010410	0.262569	0.030851	-0.001934	0.281365	NaN	0.342145	
