UDPV	// User ID
4-12-2020	// Evaluation date
UDLV_LV_08_orientation	4-12-2020	15:40:00:289	// Source file name and timestamp
100.000	// Sampling rate
43.243	// Data capture period

0.020000	// MOE
0.668000	// BslLeft
0.663000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.116962	-0.840947	0.061916	0.170095	-0.776957	0.098299	0.200223	-0.652591	0.045443	-0.074424	-0.836653	0.060726	-0.117423	-0.767011	0.096611	-0.133358	-0.641785	0.045712	-0.022491	-0.626922	0.053583	0.184760	-0.759437	0.531637	-0.131741	-0.745226	0.539223	0.191064	-0.743608	0.949977	-0.147725	-0.752646	0.952893	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039446	-0.008326	0.393960	0.037480	0.016696	0.367657	NaN	0.213878	
1	0.116934	-0.840956	0.061966	0.169902	-0.776930	0.098383	0.200225	-0.652560	0.045479	-0.074433	-0.836650	0.060765	-0.117453	-0.767000	0.096614	-0.133354	-0.641773	0.045707	-0.022465	-0.626881	0.053612	0.184694	-0.759365	0.531645	-0.131763	-0.745149	0.539230	0.191031	-0.743509	0.950001	-0.147755	-0.752578	0.952952	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039141	-0.010157	0.393960	0.037175	0.018832	0.367657	NaN	0.213878	
2	0.116964	-0.840930	0.062019	0.169910	-0.776962	0.098387	0.200135	-0.652515	0.045538	-0.074466	-0.836702	0.060800	-0.117442	-0.767006	0.096651	-0.133377	-0.641785	0.045728	-0.022432	-0.626876	0.053669	0.184692	-0.759358	0.531779	-0.131853	-0.745159	0.539248	0.191018	-0.743449	0.950068	-0.147825	-0.752495	0.952989	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037310	-0.007105	0.393655	0.035954	0.018222	0.367962	NaN	0.213878	
3	0.116947	-0.840921	0.062051	0.169981	-0.776983	0.098441	0.200174	-0.652565	0.045695	-0.074486	-0.836656	0.060828	-0.117504	-0.767054	0.096710	-0.133394	-0.641797	0.045757	-0.022383	-0.626848	0.053787	0.184669	-0.759318	0.531796	-0.131883	-0.745119	0.539283	0.190965	-0.743397	0.950122	-0.147878	-0.752464	0.953015	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039752	-0.005580	0.393655	0.038090	0.016696	0.368267	NaN	0.213878	
4	0.116927	-0.840921	0.062041	0.170078	-0.777076	0.098524	0.200161	-0.652633	0.045755	-0.074480	-0.836641	0.060805	-0.117348	-0.766861	0.096559	-0.133424	-0.641862	0.045842	-0.022380	-0.626880	0.053881	0.184619	-0.759283	0.531784	-0.131869	-0.745062	0.539279	0.190905	-0.743335	0.950116	-0.147941	-0.752449	0.953024	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039446	-0.008021	0.393045	0.036564	0.017917	0.368267	NaN	0.213878	
5	0.116918	-0.840944	0.062007	0.169981	-0.777082	0.098527	0.200184	-0.652717	0.045761	-0.074452	-0.836669	0.060772	-0.117306	-0.766838	0.096492	-0.133424	-0.641898	0.045836	-0.022439	-0.626993	0.053862	0.184627	-0.759223	0.531713	-0.131835	-0.744987	0.539233	0.190879	-0.743362	0.950036	-0.148019	-0.752375	0.953026	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038226	-0.006495	0.393655	0.035344	0.017306	0.367657	NaN	0.213878	
6	0.116955	-0.840935	0.061931	0.170014	-0.777040	0.098463	0.200157	-0.652763	0.045648	-0.074421	-0.836646	0.060687	-0.117298	-0.766848	0.096449	-0.133419	-0.641873	0.045816	-0.022536	-0.627010	0.053751	0.184599	-0.759190	0.531647	-0.131901	-0.745010	0.539223	0.190818	-0.743375	0.949962	-0.147992	-0.752318	0.952975	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.008326	0.393045	0.037480	0.018527	0.368267	NaN	0.213878	
7	0.116966	-0.840947	0.061892	0.170071	-0.777040	0.098358	0.200212	-0.652742	0.045533	-0.074428	-0.836661	0.060654	-0.117416	-0.766934	0.096611	-0.133364	-0.641877	0.045783	-0.022524	-0.626984	0.053678	0.184583	-0.759187	0.531640	-0.131904	-0.744970	0.539175	0.190765	-0.743361	0.949933	-0.148032	-0.752227	0.952954	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040972	-0.008936	0.392434	0.038701	0.018527	0.368878	NaN	0.213878	
8	0.116959	-0.840954	0.061902	0.169990	-0.776983	0.098325	0.200200	-0.652633	0.045458	-0.074417	-0.836652	0.060650	-0.117433	-0.766986	0.096620	-0.133347	-0.641828	0.045726	-0.022477	-0.626890	0.053595	0.184474	-0.759105	0.531605	-0.131865	-0.744851	0.539158	0.190669	-0.743319	0.949900	-0.148075	-0.752204	0.952928	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.005885	0.392740	0.036259	0.016391	0.368878	NaN	0.213878	
9	0.116929	-0.840958	0.061948	0.169969	-0.776965	0.098353	0.200225	-0.652565	0.045470	-0.074462	-0.836648	0.060742	-0.117450	-0.766970	0.096596	-0.133346	-0.641811	0.045683	-0.022441	-0.626869	0.053609	0.184425	-0.759115	0.531636	-0.131950	-0.744868	0.539206	0.190673	-0.743251	0.950017	-0.148077	-0.752128	0.952928	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038531	-0.005885	0.393350	0.037785	0.016696	0.368572	NaN	0.213878	
10	0.116910	-0.840938	0.062036	0.169930	-0.776937	0.098382	0.200181	-0.652480	0.045541	-0.074508	-0.836678	0.060782	-0.117473	-0.766980	0.096614	-0.133336	-0.641776	0.045675	-0.022474	-0.626888	0.053606	0.184354	-0.759089	0.531661	-0.131946	-0.744808	0.539216	0.190573	-0.743187	0.950082	-0.148174	-0.752113	0.952976	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040972	-0.009547	0.392740	0.038395	0.018527	0.369183	NaN	0.213878	
11	0.116911	-0.840925	0.062064	0.170008	-0.776969	0.098453	0.200102	-0.652508	0.045649	-0.074507	-0.836719	0.060848	-0.117483	-0.766993	0.096635	-0.133384	-0.641781	0.045701	-0.022430	-0.626843	0.053671	0.184421	-0.759120	0.531742	-0.132041	-0.744827	0.539260	0.190493	-0.743181	0.950127	-0.148239	-0.752069	0.953019	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037921	-0.007105	0.393350	0.036870	0.018222	0.368878	NaN	0.213878	
12	0.116901	-0.840937	0.062073	0.170057	-0.777008	0.098539	0.200190	-0.652558	0.045750	-0.074504	-0.836673	0.060876	-0.117535	-0.767009	0.096699	-0.133376	-0.641798	0.045789	-0.022364	-0.626851	0.053812	0.184465	-0.759102	0.531790	-0.132047	-0.744783	0.539289	0.190469	-0.743153	0.950174	-0.148257	-0.751994	0.953040	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038226	-0.005580	0.393045	0.035954	0.019137	0.368572	NaN	0.213878	
